reversible_blocks_exception,3090000,Reversible Blocks exception
invalid_reversible_blocks_dir,3090001,Invalid reversible blocks directory
reversible_blocks_backup_dir_exist,3090002,Backup directory for reversible blocks already existg
gap_in_reversible_blocks_db,3090003,Gap in the reversible blocks database
misc_exception,3100000,Miscellaneous exception
unknown_block_exception,3100002,unknown block
unknown_transaction_exception,3100003,unknown transaction
fixed_reversible_db_exception,3100004,Corrupted reversible block database was fixed.
extract_genesis_state_exception,3100005,extracted genesis state from blocks.log
unsupported_feature,3100006,Feature is currently unsupported
node_management_success,3100007,Node management operation successfully executed
authorization_exception,3110000,Authorization exception
tx_duplicate_sig,3110001,Duplicate signature is included.
tx_irrelevant_sig,3110002,Irrelevant signature is included.
unsatisfied_authorization,3110003,Provided keys do not satisfy declared authorizations.
chain_type_exception,3120000,chain type exception
name_type_exception,3120001,Invalid name
public_key_type_exception,3120002,Invalid public key
private_key_type_exception,3120003,Invalid private key
authority_type_exception,3120004,Invalid authority
action_type_exception,3120005,Invalid action
transaction_type_exception,3120006,Invalid transaction
abi_type_exception,3120007,Invalid ABI
abi_not_found_exception,3120008,No ABI found
block_id_type_exception,3120009,Invalid block ID
transaction_id_type_exception,3120010,Invalid transaction ID
packed_transaction_type_exception,3120011,Invalid packed transaction
asset_type_exception,3120012,Invalid asset
symbol_type_exception,3120013,Invalid symbol
permission_type_exception,3120014,Invalid permission
group_type_exception,3120015,Invalid group
authorizer_ref_type_exception,3120016,Invalid authorizer ref
address_type_exception,3120017,Invalid address
name128_type_exception,3120018,Invalid name128
chain_id_type_exception,3120019,Invalid chain id
plugin_exception,3130000,plugin exception
missing_chain_api_plugin_exception,3130001,Missing Chain API Plugin
missing_wallet_api_plugin_exception,3130002,Missing Wallet API Plugin
missing_net_api_plugin_exception,3130003,Missing Net API Plugin
missing_evt_api_plugin_exception,3130004,Missing EVT API Plugin
missing_history_api_plugin_exception,3130005,Missing History API Plugin
plugin_config_exception,3130006,Incorrect plugin configuration
mongodb_plugin_not_enabled_exception,3130007,Mongodb plugin is not enabled
missing_chain_plugin_exception,3130008,Missing Chain Plugin
missing_producer_api_plugin_exception,3130009,Missing Producer API Plugin
wallet_exception,3140000,wallet exception
wallet_exist_exception,3140001,Wallet already exists
wallet_nonexistent_exception,3140002,Nonexistent wallet
wallet_locked_exception,3140003,Locked wallet
wallet_missing_pub_key_exception,3140004,Missing public key
wallet_invalid_password_exception,3140005,Invalid wallet password
wallet_not_available_exception,3140006,No available wallet
wallet_unlocked_exception,3140007,Already unlocked
key_exist_exception,3140008,Key already exists
key_nonexistent_exception,3140009,Nonexistent key
unsupported_key_type_exception,3140010,Unsupported key type
invalid_lock_timeout_exception,3140011,Wallet lock timeout is invalid
secure_enclave_exception,3140012,Secure Enclave Exception
tokendb_exception,3150000,tokendb exception
tokendb_key_already_existed,3150001,Key is already existed.
tokendb_key_not_found,3150002,Not found specific key.
tokendb_rocksdb_exception,3150003,Rocksdb internal error occurred.
tokendb_no_savepoint,3150004,No savepoints anymore
tokendb_seq_not_valid,3150005,Seq for checkpoint is not valid.
tokendb_db_action_exception,3150006,Unknown db action type.
tokendb_dirty_flag_exception,3150007,Checkspoints log file is in dirty.
tokendb_squash_exception,3150008,Cannot perform squash operation now
guard_exception,3160101,Database exception
database_guard_exception,3160102,Database usage is at unsafe levels
reversible_guard_exception,3160103,Reversible block log usage is at unsafe levels
controller_emit_signal_exception,3170000,Exceptions that are allowed to bubble out of emit calls in controller
checkpoint_exception,3170001,Block does not match checkpoint
http_exception,3180000,http exception
invalid_http_client_root_cert,3180001,invalid http client root certificate
invalid_http_response,3180002,invalid http response
resolved_to_multiple_ports,3180003,service resolved to multiple ports
fail_to_resolve_host,3180004,fail to resolve host
http_request_fail,3180005,http request fail
invalid_http_request,3180006,invalid http request
exceed_deferred_request,3180007,exceed max http deferred request
alloc_deferred_fail,3180008,Failed to alloc deferred id
evt_link_plugin_exception,3190000,evt-link plugin exception
evt_link_not_existed_now_excetpion,3190001,EVT-Link is not existed currently
evt_link_already_watched_exception,3190002,EVT-Link is already watched
exceed_evt_link_watch_time_exception,3190003,Exceed EVT-Link watch time
resource_exhausted_exception,3200000,Resource exhausted exception
tx_net_usage_exceeded,3200001,Transaction exceeded the current network usage limit imposed on the transaction
block_net_usage_exceeded,3200002,Transaction network usage is too much for the remaining allowable usage of the current block
